Chidamber-Kemerer metrics,sexta, 3 dez 2021 16:27:51 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jabref.gui.groups.GroupDialogViewModel,38,1,3,0,150,75
org.jabref.gui.groups.GroupDialogViewModelTest,7,1,1,0,28,4
org.jabref.gui.groups.GroupModeViewModel,4,1,1,0,7,7
org.jabref.gui.groups.GroupNodeViewModel,30,1,7,0,127,56
org.jabref.gui.groups.GroupNodeViewModelTest,17,1,1,0,44,12
org.jabref.gui.groups.GroupSidePane,16,2,3,0,28,12
org.jabref.gui.groups.GroupTreeNodeViewModel,17,1,1,0,65,36
org.jabref.gui.groups.GroupTreeView,19,6,1,0,187,32
org.jabref.gui.groups.GroupTreeView.DragExpansionHandler,2,1,1,0,5,3
org.jabref.gui.groups.GroupTreeViewModel,19,2,4,0,84,34
org.jabref.gui.groups.GroupTreeViewModelTest,16,1,1,0,32,5
org.jabref.gui.groups.GroupViewMode,7,n/a,2,n/a,2,0
org.jabref.gui.groups.GroupsPreferences,5,1,4,0,5,5
org.jabref.gui.groups.MoveGroupChange,2,1,4,0,5,5
org.jabref.gui.groups.UndoableAddOrRemoveGroup,6,3,1,0,24,22
org.jabref.gui.groups.UndoableChangeEntriesOfGroup,5,1,1,0,7,4
org.jabref.gui.groups.UndoableModifySubtree,5,3,2,0,17,6
org.jabref.gui.groups.UndoableMoveGroup,6,3,2,0,18,4
org.jabref.gui.help.AboutAction,4,3,1,0,6,3
org.jabref.gui.help.AboutDialogView,8,3,1,0,30,11
org.jabref.gui.help.AboutDialogViewModel,9,2,7,0,48,23
org.jabref.gui.help.ErrorConsoleAction,4,3,1,0,4,1
org.jabref.gui.help.HelpAction,20,3,1,0,9,5
org.jabref.gui.help.NewVersionDialog,8,3,0,0,21,3
org.jabref.gui.help.SearchForUpdateAction,7,3,1,0,5,2
